ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"Live animal of the taxonomic species Synodus macrops, within the Family Synodontidae. The organisms are commonly known as Triplecross lizardfish or Anoli croix or Lagarto de cruces. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Synodus-macrops.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Synodus macrops",A0HVF#F02.A0EJV,Triplecross lizardfish (as animal),Synodus macrops,Anoli croix$Lagarto de cruces
"Live animal of the taxonomic species Leuciscus leuciscus, within the Family Cyprinidae. The organisms are commonly known as Common dace or Vandoise or Leucisco. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Leuciscus-leuciscus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Leuciscus leuciscus",A083P#F02.A0EJV,Common dace (as animal),Leuciscus leuciscus,Vandoise$Leucisco
Live animals of the taxonomic species Myophonus caeruleus.The animals are commonly known as Blue Whistling-Thrush or Blue Whistling Thrush. The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Myophonus_caeruleus£https://www.iucnredlist.org/species/22708329/94156601,A1A5F#F02.A0EJX,Blue Whistling-Thrush (as animal),Myophonus caeruleus,Blue Whistling Thrush
Live plant organism of the taxonomic group Cinnamomum oliveri F.M.Bailey. The group is relevant for the list of Botanicals. The plant is a member of the family Lauraceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Cinnamomum_oliveri,A143B#F02.A0BA0,Cinnamomum oliveri F.M.Bailey (as plant),Cinnamomum oliveri F.M.Bailey,
"Collective generic group referring to the pesticide grouping in EU pesticide regulation; it includes Other species of the genus Tagetes (marigold flowers), not elsewhere mentioned. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Tagetes",A0DGL#F01.A05MX$F02.A0F0D$F27.A0DGL$F33.A0C51,Other marigold flowers,"Other species of the genus Tagetes, not elsewhere mentioned",
"Live animal of the taxonomic genus Psilodraco spp., within the Family Bathydraconidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Psilodraco£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Psilodraco",A0SKX#F02.A0EJV,Psilodraco (generic) (as animal),Psilodraco spp.,
"Live animal of the taxonomic species Phreatichthys andruzzii, within the Family Cyprinidae. The organisms are commonly known as Somalian cavefish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Phreatichthys-andruzzii.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Phreatichthys",A0KJP#F02.A0EJV,Somalian cavefish (as animal),Phreatichthys andruzzii,
"The group includes any type of Sheep kidney. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.£https://en.wikipedia.org/wiki/Kidney#Kidneys_as_food",A01YN#F01.A057G$F02.A069N$F27.A01YN$F33.A0C3M,Sheep kidney,,
"Live animal of the taxonomic species Alpheus stephensoni, within the family Alpheidae. The organisms are commonly known as Queensland snapping shrimp or Cardon australien or Camarón australiano. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Alpheus stephensoni£https://en.wikipedia.org/wiki/Alpheus_(genus)",A0ZBV#F02.A0EJQ,Queensland snapping shrimp (as animal),Alpheus stephensoni,Cardon australien$Camarón australiano
"The group includes camel (Camelidae) fresh meat (with possible presence of intrinsic amounts of fat). This term refers to the animals included in the family Camelidae. When relevant, additional information has to be reported with facet descriptors.£https://en.wikipedia.org/wiki/Meat£https://www.google.co.uk/search?tbm=isch&q=Camel meat",A01RT#F01.A0F2A$F02.A0BYZ$F27.A01RT$F33.A0C3M,Camel fresh meat,Camelidae,
The group includes any type of Mushroom soup in a dehydrated form and intended to be re-constituted during the preparation for consumption. More detailed information on the characterising ingredients can be added with additional facet descriptors. The part considered is by default the whole sold or prepared unit or a portion homogeneously representing the whole.£https://en.wikipedia.org/wiki/Instant_soup£https://www.google.co.uk/search?tbm=isch&q=instant mushroom soup pack,A0B9S#F02.A0EQH$F04.A0ETG$F28.A07KG,"Mushroom soup, dry",,
"Fruits with inedible peel from the plant classified under the species Mammea americana L., commonly known as Mammey apple or Mammee or mammee apple or Mamey or mamey apple or Santo Domingo apricot or South American apricot. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Mammea_americana£https://www.google.co.uk/search?tbm=isch&q=Mammey apple",A01LZ#F01.A065F$F02.A0ELC$F27.A01LZ$F33.A0C51,Mammey apple,Mammea americana L.,Mammee$mammee apple$Mamey$mamey apple$Santo Domingo apricot$South American apricot
Live plant organism of the taxoconomic group Beilschmiedia tsangii Merr.. The group is relevant for the list of Botanicals. The plant is a member of the family Lauraceae. The part considered is by default the whole living organism.£http://www.worldfloraonline.org/taxon/wfo-0000562137,A17EJ#F02.A0BA0,Beilschmiedia tsangii Merr. (as plant),Beilschmiedia tsangii Merr.,
"Live animals of the taxonomic species Emberiza pallasi.The animals are commonly known as Pallas's Bunting (or Pallas's Reed Hunting, Pallas's Reed Bunting). The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Emberiza_pallasi£https://www.iucnredlist.org/species/22721007/155521748",A1AGV#F02.A0EJX,Pallas's Bunting (as animal),Emberiza pallasi,Pallas's Reed Hunting$Pallas's Reed Bunting
"Materials in a condition that allows molecules or particles to freely move over each other, so that it assumes quickly the form of the recipient where it is poured. (e.g. water, oil, milk…)",A06JL,Liquid,,
"Freshwater crustaceans classified under the species Macrobrachium malcolmsonii, commonly known as Moonsoon river prawn. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.£https://en.wikipedia.org/wiki/Macrobrachium_malcolmsonii£https://www.google.co.uk/search?tbm=isch&q=Moonsoon river prawn",A0FCH#F01.A0A0Z$F02.A0EMF$F27.A0FCH$F33.A0C38,Moonsoon river prawn,Macrobrachium malcolmsonii,
"Live animal of the taxonomic species Photostylus pycnopterus, within the Family Alepocephalidae. The organisms are commonly known as Starry smooth-head. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Photostylus-pycnopterus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Photostylus pycnopterus",A0H8Y#F02.A0EJV,Starry smooth-head (as animal),Photostylus pycnopterus,
Live animal of the taxonomic family Gymnotidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/FamilySummary.php?family=Gymnotidae£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Gymnotidae,A0JMF#F02.A0EJV,Gymnotidae (as animal),Gymnotidae,
"The food item has an alcohol content which, when rounded with the standard rules of rounding, equals 13 % (volume/volume)",A07CF,13 % alcohol v/v,,
"Live animal of the taxonomic class Gastropoda. The organisms are commonly known as Gastropods nei, Gastropodes nca, Gasterópodos nep, Gastropods. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=101£https://en.wikipedia.org/wiki/Gastropoda",A054Q#F02.A0EJR,Gastropoda - Gastropods (generic) (as animal),Gastropoda,Gastropods nei$Gastropodes nca$Gasterópodos nep$Gastropods
Live animals of the taxonomic species Tetraogallus altaicus. The animals are commonly known as Altai Snowcock. The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Tetraogallus_altaicus£https://www.iucnredlist.org/species/22678670/92783743,A19TZ#F02.A0EJX,Altai Snowcock (as animal),Tetraogallus altaicus,
"Leaves from the plant classified under the species Brassica perviridis (L.H. Bailey) or Brassica narinosa L.H. Bailey, commonly known as Komatsuna or Mustard spinaches or Tender green. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Komatsuna£https://www.google.co.uk/search?tbm=isch&q=Komatsuna",A00LT#F01.A05FA$F02.A0EKV$F27.A00LT$F33.A0C51,Komatsuna,Brassica perviridis (L.H. Bailey)$Brassica narinosa L.H. Bailey,Mustard spinaches$Tender green
"Sugar beet as living plant including all members of the taxonomic group Beta vulgaris L. subsp. Vulgaris sugar production cultivars, Beta vulgaris var. altissima, Beta vulgaris var. crassa. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Sugar_beet",A05QK#F02.A0ERP,Sugar beet (as plant),Beta vulgaris L. subsp. Vulgaris sugar production cultivars$Beta vulgaris var. altissima$Beta vulgaris var. crassa,
"Live animal of the taxonomic species Macrobrachium lanchesteri, within the family Palaemonidae. The organisms are commonly known as Riceland prawn or Bouquet rizière or Camarón de arrozal. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Macrobrachium lanchesteri£https://en.wikipedia.org/wiki/Macrobrachium",A0Z5X#F02.A0EJQ,Riceland prawn (as animal),Macrobrachium lanchesteri,Bouquet rizière$Camarón de arrozal
"Live animal of the taxonomic species Enteroctopus megalocyathus, within the Family Octopodidae. The organisms are commonly known as Patagonian giant octopus or Poulpe geant patagonique or Pulpo gigante patagónico or Patagonian red octopus. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Enteroctopus megalocyathus£https://en.wikipedia.org/wiki/Enteroctopus_megalocyathus",A0B3J#F02.A0EJR,Patagonian giant octopus (as animal),Enteroctopus megalocyathus,Poulpe geant patagonique$Pulpo gigante patagónico$Patagonian red octopus
"The group includes Quail fresh meat, from the species Coturnix coturnix and other members of Phasianidae family (with possible presence of intrinsic amounts of fat). When relevant, additional information has to be reported with facet descriptors.£https://en.wikipedia.org/wiki/Meat£https://www.google.co.uk/search?tbm=isch&q=Quail fresh meat",A01TB#F01.A058J$F02.A0BYZ$F27.A01TB$F33.A0C3M,Quail fresh meat,Coturnix coturnix$other members of Phasianidae(family),
"Live animal of the taxonomic species Chlamys islandica, within the Family Pectinidae. The organisms are commonly known as Iceland scallop or Peigne islandais or Peine islándico. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=140692£https://en.wikipedia.org/wiki/Chlamys_islandica",A0B0P#F02.A0EJR,Iceland scallop (as animal),Chlamys islandica,Peigne islandais$Peine islándico
"Live animal of the taxonomic genus Lepidoblepharon spp., within the Family Citharidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Lepidoblepharon£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Lepidoblepharon",A0XZP#F02.A0EJV,Lepidoblepharon (generic) (as animal),Lepidoblepharon spp.,
"Live animal of the taxonomic species Chaenopsis alepidota, within the Family Chaenopsidae. The organisms are commonly known as Orangethroat pikeblenny. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Chaenopsis-alepidota.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Chaenopsis alepidota",A0VQT#F02.A0EJV,Orangethroat pikeblenny (as animal),Chaenopsis alepidota,
Live animal of the taxonomic family Gryphaeidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Gryphaeidae£https://en.wikipedia.org/wiki/Gryphaeidae,A11JQ#F02.A0EJR,Gryphaeidae (as animal),Gryphaeidae,
