ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
Live Molluscs,Live molluscs,A108Z#F02.A0EJR,Philbert's gibbula (as animal),Gibbula philberti,Troque de Philibert$Peonza de Philbert
LIVE FISHES,Live fishes,A08B7#F02.A0EJV,Sagor catfish (as animal),Arius sagor,
live fishes,Live fishes,A0REN#F02.A0EJV,Hemitilapia (generic) (as animal),Hemitilapia spp.,
Live fishes,Live fishes,A0P7Y#F02.A0EJV,Chirostoma grandocule (as animal),Chirostoma grandocule,
Live fishes,Live fishes,A190E#F02.A0EJV,Indian glassy fish (as animal),Parambassis ranga,Indian glassy perch$Chanda
LIVE FISHES,Live fishes,A0V1F#F02.A0EJV,West African spadefish (as animal),Chaetodipterus lippei,
Live Fishes,Live fishes,A0TZV#F02.A0EJV,Brown surgeonfish (as animal),Acanthurus nigrofuscus,
Live fishes,Live fishes,A0STB#F02.A0EJV,Ptilichthys (generic) (as animal),Ptilichthys spp.,
Live plants,Live plants,A190Z#F02.A0BA0,Cnidoscolus texanus (Müll.Arg.) Small (as plant),Cnidoscolus texanus (Müll.Arg.) Small,
Japanese pepper fruit that is Fruits used as spice and Japanese pepper fruit and FA-12.2.1 Herbs and spices,"Japanese pepper fruit, Fruits used as spice, Japanese pepper fruit, FA-12.2.1 Herbs and spices",A0CHB#F01.A0EER$F02.A0ELF$F27.A0CHB$F33.A0C2M,Japanese pepper fruit,Zanthoxylum piperitum  (L.) DC.,
Live Plants,Live plants,A149K#F02.A0BA0,Curcuma phaeocaulis Valeton (as plant),Curcuma phaeocaulis Valeton,
Flakes and similar that is Rye grain and Flaking and FA-06.3 Breakfast cereals,"Flakes and similar, Rye grain, Flaking, FA-06.3 Breakfast cereals",A00DY#F02.A068E$F27.A001K$F28.A07LG$F33.A0C46,Processed rye-based flakes,,
Live fishes,Live fishes,A0SNE#F02.A0EJV,Epigonidae (as animal),Epigonidae,
Live Plants,Live plants,A17BE#F02.A0BA0,Atractylodes ovata (Thunb.) DC. (as plant),Atractylodes ovata (Thunb.) DC.,
LIVE FISHES,Live fishes,A0XHK#F02.A0EJV,Striped seasnail (as animal),Liparis liparis,
LIVE FISHES,Live fishes,A0J6B#F02.A0EJV,Colossoma (generic) (as animal),Colossoma spp.,
LIVE PLANTS,Live plants,A138Z#F02.A0BA0,Gelsemiaceae - family (as plant),Gelsemiaceae (family),
LIVE CRUSTACEANS,Live crustaceans,A0ZZF#F02.A0EJQ,Hairy matchbox crab (as animal),Sesarma sulcatum,Anglette poilue$Abuete cajeta peluda
"Yeast leaven pastry, Yeast prove sweet doughs, Frying, FA-07.2 Fine bakery wares","Yeast leavened pastry, Yeast leavened sweet doughs, Frying, FA-07.2 Fine bakery wares",A16FY#F02.A06DQ$F12.A008L$F28.A07GR$F33.A0C3Q,Fried dough sweet,,Chiacchiere$Angel wings$Bugnes
Live fishes,Live fishes,A0RVS#F02.A0EJV,Immaculate damsel (as animal),Mecaenichthys immaculatus,
Live Fishes,Live fishes,A0FQD#F02.A0EJV,Lamiopsis (generic) (as animal),Lamiopsis spp.,
Live fishes,Live fishes,A0R9Z#F02.A0EJV,Oreochromis karongae (as animal),Oreochromis karongae,
"Cumin, Seed Spices, Cumin Seed, Fa-12.2.1 herb And Spices","Cumin, Seed spices, Cumin seed, FA-12.2.1 Herbs and spices",A018E#F01.A05TE$F02.A0F0E$F27.A018E$F33.A0C2M,Cumin seed,Cuminum cyminum L.,
Live fishes,Live fishes,A0H4X#F02.A0EJV,Slender argentine (as animal),Microstoma microstoma,
LIVE FISHES,Live fishes,A0HGX#F02.A0EJV,Proud dragonfish (as animal),Eustomias achirus,
"NUT/SEEDS PASTE/EMULSION/MASS, pulp / MASHING, FA-04.2.5.4 NUT BUTTERS AND NUT SPREADS","Nut/seeds paste/emulsion/mass, Pulping / mashing, FA-04.2.5.4 Nut butters and nut spreads",A0F0M#F02.A068L$F28.A0C6N$F33.A0C4J,Nut/seeds paste/emulsion/mass,,
"Nuts with Castanea sativa Mill., Sweet Chestnut, FA-15.2 Processed nuts","Castanea sativa Mill., Nuts, Sweet Chestnut, FA-15.2 Processed nuts",A0DYE#F01.A140F$F02.A066R$F27.A0DYE$F33.A0C19,Sweet Chestnut,Castanea sativa Mill.,Spanish chestnut$Portuguese chestnut$Marron
Live Insects And Arachnids,Live insects and arachnids,A196J#F02.A0EJP,Aedes aegypti (as animal),Aedes aegypti,Yellow fever mosquito
live legume plants,Live legume plants,A05JC#F02.A0EKP,Horse gram (as plant),Macrotyloma uniflorum (Lam.) Verdc. var. uniflorum,
Live legume plants,Live legume plants,A05HH#F02.A0EKP,Sword bean (as plant),Canavalia gladiata (Jacq.) DC.,
Live Fishes,Live fishes,A0833#F02.A0EJV,Buffalofishes (generic) (as animal),Ictiobus spp.,Buffalofishes nei$Poissons-taureaux nca$Buffalo fish (freshwater)
live molluscs,Live molluscs,A0B0D#F02.A0EJR,Atlantic thorny oyster (as animal),Spondylus americanus,Atlantic thorny Oyster
Live molluscs,Live molluscs,A12NA#F02.A0EJR,Tremaster mirabilis (as animal),Tremaster mirabilis,
"WINEBERRY, FRUITS USED AS FRUIT, WINEBERRIES, FA-04.1 UNPROCESSED FRUIT AND VEGETABLES","Wineberry, Fruits used as fruit, Wineberries, FA-04.1 Unprocessed fruit and vegetables",A01ER#F01.A05ZL$F02.A0ELC$F27.A01ER$F33.A0C51,Wineberries,Rubus phoenicolasius Maxim,Japanese wineberries
Live Fishes,Live fishes,A0G4M#F02.A0EJV,Ecuatorial ray (as animal),Raja equatorialis,
Purple viper s bugloss Oil seeds Purple viper s bugloss seeds FA 15 2 Processed nuts,"Purple viper's bugloss, Oil seeds, Purple viper's bugloss seeds, FA-15.2 Processed nuts",A0CGH#F01.A0E4H$F02.A066S$F27.A0CGH$F33.A0C19,Purple viper's bugloss seeds,Echium plantagineum L.,
Siberian prawn,"Siberian prawn, Crustaceans meat, Siberian prawn, FA-09.1.2 Unprocessed molluscs and crustaceans",A0FCK#F01.A0AH1$F02.A0EMF$F27.A0FCK$F33.A0C38,Siberian prawn,Exopalaemon modestus,
"Plants, Roots used for infusions or hot drinks, Other Herbal infusion materials from roots, FA-14.1.5.2 early","Plants, Roots used for infusions or hot drinks, Other Herbal infusion materials from roots, FA-14.1.5.2 Other",A03JX#F01.A058Y$F02.A0ERY$F27.A03JX$F33.A0C1Q,Other Herbal infusion materials from roots,,
live fishes,Live fishes,A09X8#F02.A0EJV,Atlantic bigeye (as animal),Priacanthus arenatus,Atlantic Bigeye
LIVE FISHES,Live fishes,A0SQQ#F02.A0EJV,Dictyosoma (generic) (as animal),Dictyosoma spp.,
live molluscs,Live molluscs,A11ZJ#F02.A0EJR,Tellinidae (as animal),Tellinidae,
LIVE MOLLUSCS,Live molluscs,A0AK8#F02.A0EJR,Southern green abalone (as animal),Haliotis fulgens,Ormeau vert$Abulón verde$Green abalone
